gid,자치구명,법정동명,등록동물수,공시지가,교통량,반려동물_관련시설
11110101,종로구,청운동,155,1672511.72,562,0
11110102,종로구,신교동,89,3512680.34,562,0
11110103,종로구,궁정동,7,2726053.75,562,0
11110104,종로구,효자동,46,4504767.1,562,0
11110105,종로구,창성동,35,5229726.37,562,0
11110106,종로구,통의동,30,6227721.06,861,0
11110107,종로구,적선동,11,17778669.92,861,0
11110108,종로구,통인동,59,5868900.93,562,0
11110109,종로구,누상동,207,1171220.62,562,0
11110110,종로구,누하동,57,4580692.19,562,0
11110111,종로구,옥인동,147,1509510.89,562,1
11110112,종로구,체부동,66,5613518.06,861,0
11110113,종로구,필운동,47,4634413.2,861,1
11110114,종로구,내자동,14,13972724.19,861,0
11110115,종로구,사직동,246,2597632.86,861,0
11110116,종로구,도렴동,2,26113451.3,861,0
11110117,종로구,당주동,29,19517376.77,861,0
11110118,종로구,내수동,187,13050961.65,861,0
11110119,종로구,세종로,31,7831450.02,562,0
11110120,종로구,신문로1가,6,26717093.18,861,0
11110121,종로구,신문로2가,55,6653393.4,861,2
11110122,종로구,청진동,4,32498782.11,482,0
11110123,종로구,서린동,24,41007725.24,482,0
11110124,종로구,수송동,26,17571339.31,482,0
11110125,종로구,중학동,0,16112547.99,482,0
11110126,종로구,종로1가,14,28789913.47,482,0
11110127,종로구,공평동,2,37689536.09,482,0
11110128,종로구,관훈동,2,13631576.23,482,0
11110129,종로구,견지동,15,10778776.45,482,0
11110130,종로구,와룡동,5,1558987.2,482,0
11110131,종로구,권농동,22,3323987.28,482,0
11110132,종로구,운니동,8,9434321.65,482,0
11110133,종로구,익선동,46,7592527.06,482,0
11110134,종로구,경운동,12,10404046.96,482,0
11110135,종로구,관철동,6,23265360.08,482,0
11110136,종로구,인사동,10,17409767.22,482,0
11110137,종로구,낙원동,31,11723722.38,482,0
11110138,종로구,종로2가,0,25908894.69,482,0
11110139,종로구,팔판동,28,6083371.97,1050,0
11110140,종로구,삼청동,120,1112971.53,1050,0
11110141,종로구,안국동,15,7487517.32,1050,0
11110142,종로구,소격동,18,8405839.25,1050,0
11110143,종로구,화동,9,5845526.55,1050,0
11110144,종로구,사간동,18,8507676.63,1050,0
11110145,종로구,송현동,0,8580093.42,1050,0
11110146,종로구,가회동,105,5564870.11,891,0
11110147,종로구,재동,7,8323568.24,891,0
11110148,종로구,계동,83,5338172.56,891,0
11110149,종로구,원서동,117,3396794.14,891,0
11110150,종로구,훈정동,0,1234765.24,482,0
