"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"1","동물장묘업","02_03_05_P","4400000","440000003820120001","20121213","","01","영업/정상","0000","정상","","","","","043-642-1537","0","","충청북도 제천시 봉양읍 장평리 37-1번지","충청북도 제천시 봉양읍 장평로 95","","굿바이펫","20191210154952","U","2019-12-12 02:40:00.0","","","","동물장묘업","","000","",
"2","동물장묘업","02_03_05_P","4430000","443000003820190001","20190123","","01","영업/정상","0000","정상","","","","","","0","","충청북도 옥천군 이원면 평계리 992-2번지 음식점","충청북도 옥천군 이원면 이원로 47, 음식점","29064","FM펫 스카이랜드","20190123180932","I","2019-01-25 02:21:00.0","","256461.768511","298218.433673","","","","",
"3","동물장묘업","02_03_05_P","5350000","535000003820190001","20190221","","01","영업/정상","0000","정상","","","","","","0","","경상남도 김해시 생림면 나전리 1065-8번지","경상남도 김해시 생림면 나전로137번길 31","50802","별이되다","20200417165909","U","2020-04-19 02:40:00.0","","370325.083692541","201459.48800749","동물장묘업","","000","",
"4","동물장묘업","02_03_05_P","3470000","347000003820140001","20140326","","01","영업/정상","0000","정상","","","","","053-593-4900","0","","대구광역시 달서구 장동 50번지","대구광역시 달서구 문화회관9길 71 (장동)","42699","(주)동물사랑 대구러브펫","20170529204600","I","2018-08-31 23:59:59.0","","337301.023312","260863.131625","동물장묘업","","000","",
"5","동물장묘업","02_03_05_P","4610000","461000003820130001","20131028","","01","영업/정상","0000","정상","","","","","041-332-8787","0","","충청남도 예산군 대술면 화산리 464-1번지","","","예산 위드엔젤","20170524090929","I","2018-08-31 23:59:59.0","","192522.900603","355233.070056","동물장묘업","","000","",
"6","동물장묘업","02_03_05_P","4490000","565000003820140001","20140623","","01","영업/정상","0000","정상","","","","","1688-1240","0","","충청남도 천안시 동남구 구룡동 481","충청남도 천안시 동남구 광풍로 1668 (구룡동)","31212","21그램 반려동물 장례식장 천안아산점","20220630105944","U","2022-07-02 02:40:00.0","","212757.673779","362903.799354","동물장묘업","","L00","0",
"7","동물장묘업","02_03_05_P","4500000","450000003820140001","20140924","","01","영업/정상","0000","정상","","","","","","0","","","충청남도 공주시 우성면 보흥2길 36-61","32533","(주)좋은친구들","20171127171425","I","2018-08-31 23:59:59.0","","202666.113556","327273.785933","동물장묘업","","L00","",
"8","동물장묘업","02_03_05_P","3730000","373000003820190001","20190312","","01","영업/정상","0000","정상","","","","","","0","","울산광역시 울주군 삼동면 조일리 906-4","울산광역시 울주군 삼동면 삼동로 140","44956","이별공간","20201014112538","U","2020-10-16 02:40:00.0","","391006.556305661","224127.828384048","동물장묘업","","000","",
"9","동물장묘업","02_03_05_P","4050000","405000003820190001","20190415","","01","영업/정상","0000","정상","","","","","","0","","경기도 용인시 처인구 남사읍 방아리 883-3","경기도 용인시 처인구 남사읍 원암로 535","17123","리멤버반려동물장례식장","20210614103640","U","2021-06-16 02:40:00.0","","215249","400638","동물장묘업","","000","",
"10","동물장묘업","02_03_05_P","5350000","535000003820190002","20190410","","01","영업/정상","0000","정상","","","","","","0","","경상남도 김해시 상동면 우계리 112-1번지","경상남도 김해시 상동면 묵방로109번길 3","50805","펫로스 케어","20190410125633","I","2019-04-12 02:20:19.0","","373804.313506839","201652.451221393","동물장묘업","","000","",
"11","동물장묘업","02_03_05_P","4700000","470000003820140001","20140924","","01","영업/정상","0000","정상","","","","","","0","","전라북도 남원시 보절면 신파리 403번지","전라북도 남원시 보절면 파동신동길 161-29","55706","펫바라기","20190222111723","U","2019-02-24 02:40:00.0","","237732.639601","224580.586018","동물장묘업","","000","",
