"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물위탁관리업","02_03_10_P","4050000","562000004820220010","20220718","","01","영업/정상","0000","정상","","","","","","0","","경기도 용인시 처인구 모현읍 왕산리 ***-*","경기도 용인시 처인구 모현읍 왕담로 **-*","17035","퍼피스카우트","20220718170813","I","2022-07-20 00:22:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"2","동물위탁관리업","02_03_10_P","5670000","567000004820220031","20220728","","01","영업/정상","0000","정상","","","","","","0","","경상남도 창원시 진해구 자은동 ***","경상남도 창원시 진해구 냉천로 ***, 정수빌딩 *층 (자은동)","51593","파브 퍼피","20220728141432","I","2022-07-30 00:22:29.0","","355892.254701122","185350.450800049","동물위탁관리업","동물위탁관리업","000","0",
"3","동물위탁관리업","02_03_10_P","3490000","349000004820220014","20220718","","01","영업/정상","0000","정상","","","","","032-752-8189","0","","인천광역시 중구 중산동 ****-** 스카이에비뉴*","인천광역시 중구 하늘달빛로 **-*, 스카이에비뉴* ****호 (중산동)","22402","도그어스플래닛에듀케이션","20220718134742","I","2022-07-20 00:22:28.0","","160881.144905885","442862.476645375","동물위탁관리업","동물위탁관리업","L00","0",
"4","동물위탁관리업","02_03_10_P","4030000","403000004820220001","20220718","","01","영업/정상","0000","정상","","","","","031-689-4028","0","","경기도 의왕시 이동 ***","경기도 의왕시 오봉산단*로 **, B*층 ***호 (이동)","16079","솔레아스 쳇 의왕부곡점","20220718130936","I","2022-07-20 00:22:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"5","동물위탁관리업","02_03_10_P","3140000","314000004820220013","20220727","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 양천구 신월동 ***-*","서울특별시 양천구 남부순환로**길 **, *층 (신월동)","07916","멍캉스","20220727142202","I","2022-07-29 00:22:39.0","","185161.74687188","447286.121704392","동물위탁관리업","동물위탁관리업","000","0",
"6","동물위탁관리업","02_03_10_P","3150000","315000004820220015","20220728","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강서구 화곡동 **","서울특별시 강서구 화곡로 ***, *,*층 (화곡동)","07678","멍블랑","20220728155607","I","2022-07-30 00:22:29.0","","186319.532537765","449441.756638539","동물위탁관리업","동물위탁관리업","000","0",
"7","동물위탁관리업","02_03_10_P","3680000","368000004820220001","20220728","","01","영업/정상","0000","정상","","","","","","0","","대전광역시 대덕구 석봉동 ***-*","대전광역시 대덕구 대덕대로****번길 **, *층 (석봉동)","34305","댕스토리","20220728181838","I","2022-07-30 00:22:29.0","","238151.310151","327906.570201","동물위탁관리업","동물위탁관리업","000","0",
"8","동물위탁관리업","02_03_10_P","4260000","426000004820220002","20220727","","01","영업/정상","0000","정상","","","","","07041902788","0","","강원도 횡성군 횡성읍 읍하리 ***-*","강원도 횡성군 횡성읍 읍하남로**번길 **","25222","몽이묭실","20220727091954","I","2022-07-29 00:22:39.0","","287300.388446006","444005.283244378","동물위탁관리업","동물위탁관리업","000","0",
"9","동물위탁관리업","02_03_10_P","3220000","322000004820220027","20220727","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강남구 청담동 **-*","서울특별시 강남구 영동대로 ***, *층 (청담동)","06072","주식회사 펫타리움","20220727144533","I","2022-07-29 00:22:39.0","","204802.926536616","446693.113699792","동물위탁관리업","동물위탁관리업","L00","0",
"10","동물위탁관리업","02_03_10_P","5710000","571000004820220008","20220728","","01","영업/정상","0000","정상","","","","","043-232-0008","0","","충청북도 청주시 흥덕구 비하동 ***-*","충청북도 청주시 흥덕구 *순환로 ****(비하동)","28361","퍼피스테이","20220728090057","I","2022-07-30 00:22:29.0","","237671.479974","349040.304054","동물위탁관리업","동물위탁관리업","000","0",
"11","동물위탁관리업","02_03_10_P","3560000","356000004820220026","20220728","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 서구 청라동 **-*","인천광역시 서구 청라한내로***번길 **, 큐브시그니처 ***호 (청라동)","22758","커뮤니캣","20220728133441","I","2022-07-30 00:22:29.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"12","동물위탁관리업","02_03_10_P","5670000","567000004820220029","20220706","","01","영업/정상","0000","정상","","","","","","0","","경상남도 창원시 의창구 북면 감계리 ****","경상남도 창원시 의창구 북면 감계로 ***, 온누리상가 *층 *호","51112","HAPPY애견HOTEL","20220706094327","I","2022-07-08 00:22:30.0","","344505.462969517","201441.887817683","동물위탁관리업","동물위탁관리업","000","0",
"13","동물위탁관리업","02_03_10_P","4590000","459000004820180003","20180501","","01","영업/정상","0000","정상","","","","","","0","","충청남도 청양군 청양읍 읍내리 ***-*","충청남도 청양군 청양읍 칠갑산로 ***, *층 ***호","33333","꿈꾸는 강아지","20220428181206","I","2022-07-02 17:34:28.0","","182442.746962","327742.658704","동물위탁관리업","동물위탁관리업","000","0",
