자치구명,법정동명,등록수
영등포구,당산동,282 
영등포구,대림동,2569 
영등포구,도림동,981 
영등포구,신길동,5042 
영등포구,여의도동,1959 
영등포구,영등포동,689 
영등포구,당산동1가,367 
영등포구,당산동2가,274 
영등포구,당산동3가,493 
영등포구,당산동4가,564 
영등포구,당산동5가,616 
영등포구,당산동6가,196 
영등포구,문래동1가,10 
영등포구,문래동2가,53 
영등포구,문래동3가,636 
영등포구,문래동4가,95 
영등포구,문래동5가,225 
영등포구,문래동6가,446 
영등포구,양평동1가,247 
영등포구,양평동2가,339 
영등포구,양평동3가,526 
영등포구,양평동4가,324 
영등포구,양평동5가,303 
영등포구,양평동6가,240 
영등포구,영등포동1가,113 
영등포구,영등포동2가,154 
영등포구,영등포동3가,73 
영등포구,영등포동4가,112 
영등포구,영등포동5가,98 
영등포구,영등포동6가,95 
영등포구,영등포동7가,375 
영등포구,영등포동8가,329 
