자치구명,법정동명,등록수
중구,다동,153 
중구,정동,44 
중구,초동,5 
중구,남창동,31 
중구,남학동,1 
중구,무교동,2 
중구,무학동,19 
중구,묵정동,67 
중구,방산동,3 
중구,북창동,3 
중구,산림동,17 
중구,소공동,2 
중구,수표동,1 
중구,수하동,1 
중구,순화동,66 
중구,신당동,4611 
중구,쌍림동,23 
중구,예관동,5 
중구,예장동,58 
중구,오장동,16 
중구,입정동,1 
중구,주교동,3 
중구,주자동,2 
중구,중림동,271 
중구,황학동,891 
중구,흥인동,143 
중구,명동2가,9 
중구,저동1가,3 
중구,저동2가,6 
중구,필동1가,10 
중구,필동2가,52 
중구,필동3가,82 
중구,서소문동,1 
중구,광희동1가,25 
중구,광희동2가,60 
중구,남산동1가,27 
중구,남산동2가,58 
중구,남산동3가,2 
중구,만리동1가,58 
중구,만리동2가,155 
중구,봉래동1가,12 
중구,봉래동2가,1 
중구,을지로3가,8 
중구,을지로4가,6 
중구,을지로5가,47 
중구,을지로6가,11 
중구,을지로7가,7 
중구,의주로1가,7 
중구,의주로2가,5 
중구,인현동1가,5 
중구,인현동2가,36 
중구,장충동1가,132 
중구,장충동2가,190 
중구,충무로1가,7 
중구,충무로2가,3 
중구,충무로3가,10 
중구,충무로4가,54 
중구,충무로5가,42 
중구,태평로1가,1 
중구,태평로2가,2 
중구,회현동1가,201 
중구,회현동2가,93 
중구,회현동3가,4 
중구,남대문로5가,51 
