sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11230,1123051,24169,18884,260,5025
11,11230,1123052,15915,12633,92,3189
11,11230,1123053,12495,9971,75,2449
11,11230,1123058,23000,18284,176,4540
11,11230,1123059,8189,6596,44,1549
11,11230,1123060,9174,7616,49,1510
11,11230,1123063,6627,5448,35,1144
11,11230,1123064,14891,11944,85,2862
11,11230,1123065,14112,11341,81,2689
11,11230,1123066,15125,12346,90,2689
11,11230,1123067,10497,8629,63,1805
11,11230,1123068,21814,17518,164,4131
11,11230,1123071,18703,15139,125,3439
11,11230,1123072,2883,2456,12,415
11,11230,1123073,27367,22147,178,5042
11,11230,1123074,21982,17765,148,4069
11,11230,1123075,16782,13694,106,2982
11,11230,1123076,11956,9799,79,2078
11,11230,1123077,14636,11404,158,3074
11,11230,1123078,23080,17908,271,4902
11,11230,1123079,19604,16190,108,3306
11,11230,1123080,14165,11540,82,2543
