sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11250,1125051,24200,18203,386,5611
11,11250,1125052,6543,5511,28,1003
11,11250,1125053,8896,7545,28,1323
11,11250,1125054,5722,4965,13,744
11,11250,1125055,4528,3830,15,683
11,11250,1125056,25505,19068,396,6041
11,11250,1125058,24595,18207,304,6084
11,11250,1125059,17696,13646,167,3882
11,11250,1125061,5655,4867,18,770
11,11250,1125063,11580,9517,55,2008
11,11250,1125065,8196,6808,42,1346
11,11250,1125066,10992,9122,50,1820
11,11250,1125067,14826,12166,87,2573
11,11250,1125070,16520,13317,117,3086
11,11250,1125071,9257,7726,43,1488
11,11250,1125072,6205,5246,20,938
11,11250,1125073,13706,10815,113,2779
11,11250,1125074,12288,10171,60,2056
