sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11090,1109060,14450,12242,47,2160
11,11090,1109061,6236,5391,18,828
11,11090,1109062,10217,8625,36,1556
11,11090,1109063,9016,7766,22,1228
11,11090,1109064,8886,7739,20,1128
11,11090,1109065,11149,9551,29,1569
11,11090,1109069,10728,9171,30,1528
11,11090,1109070,8581,7353,26,1202
11,11090,1109071,11730,9934,41,1756
11,11090,1109072,7348,6369,19,960
11,11090,1109073,5612,4951,13,648
11,11090,1109074,6056,5370,10,676
11,11090,1109075,8198,7121,18,1058
