sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11160,1116051,19041,14699,293,4049
11,11160,1116052,14484,11607,96,2780
11,11160,1116053,8073,6431,49,1593
11,11160,1116054,6839,5525,35,1279
11,11160,1116055,11908,9447,68,2394
11,11160,1116057,22086,17562,155,4369
11,11160,1116058,8647,6885,46,1715
11,11160,1116059,21089,16670,147,4272
11,11160,1116061,8516,6847,49,1620
11,11160,1116063,14196,11146,87,2963
11,11160,1116064,10626,8383,145,2097
11,11160,1116065,25073,19193,532,5348
11,11160,1116066,7011,5714,36,1261
11,11160,1116067,9631,7806,61,1764
11,11160,1116069,10003,8137,71,1794
11,11160,1116070,5524,4477,31,1016
11,11160,1116071,18167,14078,243,3846
11,11160,1116072,9252,7367,167,1718
11,11160,1116073,11201,8858,68,2275
11,11160,1116074,6539,5243,34,1262
