sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11210,1121052,8981,7043,44,1894
11,11210,1121054,5748,4424,28,1296
11,11210,1121057,21173,17103,164,3906
11,11210,1121058,14751,11739,88,2925
11,11210,1121061,19784,15805,116,3862
11,11210,1121062,6009,4645,29,1335
11,11210,1121063,22611,18743,146,3722
11,11210,1121064,10075,8002,51,2022
11,11210,1121065,6773,5157,31,1585
11,11210,1121066,15398,12443,86,2869
11,11210,1121068,10471,8364,64,2043
11,11210,1121069,19766,15880,114,3773
11,11210,1121071,9170,7293,55,1822
11,11210,1121072,12333,9764,72,2497
11,11210,1121073,10509,8340,53,2116
11,11210,1121078,10638,8375,63,2201
11,11210,1121079,4704,3516,81,1108
11,11210,1121080,11901,9417,70,2414
11,11210,1121081,10533,8501,57,1976
11,11210,1121082,8693,7060,48,1585
11,11210,1121083,8034,6273,44,1717
