sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11050,1105053,18077,14582,109,3385
11,11050,1105054,14404,11648,97,2659
11,11050,1105055,19762,15822,145,3795
11,11050,1105056,16685,13508,135,3042
11,11050,1105057,25663,20158,479,5026
11,11050,1105058,7969,6687,44,1237
11,11050,1105059,14881,12012,88,2781
11,11050,1105060,8840,7349,45,1446
11,11050,1105061,15112,12263,126,2723
11,11050,1105062,15791,12518,126,3148
11,11050,1105063,10983,8780,88,2114
11,11050,1105064,7481,6312,39,1131
11,11050,1105065,24512,18776,253,5482
11,11050,1105066,8989,7304,54,1631
11,11050,1105067,26660,21476,193,4991
