sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11170,1117051,11048,8376,96,2576
11,11170,1117052,14749,11401,134,3214
11,11170,1117054,8685,6701,45,1940
11,11170,1117055,8659,6701,37,1921
11,11170,1117056,6448,4976,26,1446
11,11170,1117061,9738,7394,65,2279
11,11170,1117062,4697,3546,18,1133
11,11170,1117064,14522,11083,96,3342
11,11170,1117065,4473,2948,17,1508
11,11170,1117067,15608,12555,73,2980
11,11170,1117068,10588,8210,60,2319
11,11170,1117069,7423,6058,36,1329
11,11170,1117070,21310,17055,134,4121
11,11170,1117071,12471,9527,89,2855
11,11170,1117072,12528,9868,80,2581
