sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11110,1111051,4233,3748,12,473
11,11110,1111052,6093,5204,20,869
11,11110,1111053,19317,15631,120,3565
11,11110,1111056,11682,8628,85,2968
11,11110,1111058,7554,5867,40,1648
11,11110,1111059,17503,14063,107,3334
11,11110,1111060,5235,4301,19,915
11,11110,1111061,4738,3909,17,812
11,11110,1111064,5280,4294,20,966
11,11110,1111065,21148,15837,328,4983
11,11110,1111066,8482,6883,38,1561
11,11110,1111069,5198,4285,17,896
11,11110,1111072,16028,12288,175,3565
11,11110,1111073,8352,6807,35,1510
11,11110,1111074,15856,12413,116,3327
11,11110,1111076,10347,8029,105,2212
11,11110,1111077,14590,11620,95,2875
11,11110,1111078,8032,6496,36,1499
11,11110,1111079,14101,11193,110,2798
