sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11100,1110051,6307,5556,12,739
11,11100,1110052,9651,8297,25,1329
11,11100,1110053,8571,7408,21,1143
11,11100,1110054,5909,5172,12,725
11,11100,1110055,8396,7080,29,1288
11,11100,1110056,6643,5855,13,775
11,11100,1110057,6136,5415,12,709
11,11100,1110059,9364,7896,32,1436
11,11100,1110060,9140,7803,25,1312
11,11100,1110061,8154,7054,21,1079
11,11100,1110062,8809,7336,34,1439
11,11100,1110063,9525,8006,31,1488
11,11100,1110064,10179,8473,34,1671
11,11100,1110065,6320,5418,20,882
