sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11060,1106071,9277,7128,48,2101
11,11060,1106072,13305,10501,77,2727
11,11060,1106073,15737,12616,103,3019
11,11060,1106080,11253,8807,59,2387
11,11060,1106081,11482,9171,66,2245
11,11060,1106082,20217,16176,118,3924
11,11060,1106083,7825,6178,39,1608
11,11060,1106084,9061,7229,51,1781
11,11060,1106086,7187,5774,47,1367
11,11060,1106087,15808,12650,121,3037
11,11060,1106088,9838,7919,59,1860
11,11060,1106089,7876,6127,36,1714
11,11060,1106090,10747,8560,62,2125
11,11060,1106091,10229,8201,65,1963
