sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11200,1120052,17736,13944,115,3677
11,11200,1120053,11920,9413,62,2445
11,11200,1120054,5374,4130,24,1219
11,11200,1120055,5867,4628,25,1214
11,11200,1120056,7711,5937,39,1735
11,11200,1120063,22279,18135,182,3963
11,11200,1120065,7342,5754,30,1558
11,11200,1120066,3893,3024,15,855
11,11200,1120067,3955,3002,14,938
11,11200,1120068,8160,6318,45,1796
11,11200,1120069,13425,10591,82,2751
11,11200,1120070,4720,3676,22,1022
11,11200,1120071,34272,26688,508,7076
11,11200,1120072,21209,16785,184,4240
11,11200,1120073,27152,21826,220,5106
