sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11140,1114059,15697,12302,145,3250
11,11140,1114060,10416,8209,53,2155
11,11140,1114061,7954,6241,40,1673
11,11140,1114063,14545,11420,147,2978
11,11140,1114066,10548,8259,60,2228
11,11140,1114068,24065,19013,256,4797
11,11140,1114069,27196,20815,379,6002
11,11140,1114070,20943,16366,249,4328
11,11140,1114071,6902,5771,26,1105
11,11140,1114072,25033,19976,159,4898
11,11140,1114073,17453,14237,107,3109
11,11140,1114074,16553,13244,187,3121
11,11140,1114075,7978,6213,67,1698
11,11140,1114076,21155,16461,322,4372
11,11140,1114077,8315,6411,46,1859
11,11140,1114078,7982,6195,46,1741
