sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11130,1113052,7792,6309,41,1442
11,11130,1113062,8767,7123,41,1603
11,11130,1113064,18449,14636,113,3701
11,11130,1113065,13672,11077,68,2526
11,11130,1113066,7382,6019,38,1326
11,11130,1113068,18539,14666,150,3722
11,11130,1113069,9332,7813,41,1478
11,11130,1113070,5769,4919,20,829
11,11130,1113071,8711,7351,37,1323
11,11130,1113072,6306,5439,20,847
11,11130,1113073,8578,6681,45,1851
11,11130,1113074,7175,5499,40,1635
11,11130,1113075,15555,12551,94,2909
11,11130,1113076,18280,14567,138,3574
