sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11220,1122051,22578,17812,427,4339
11,11220,1122052,22103,17172,436,4495
11,11220,1122053,17827,14360,106,3361
11,11220,1122054,14686,11365,295,3026
11,11220,1122055,21605,16864,280,4462
11,11220,1122056,33376,26177,343,6856
11,11220,1122057,21010,16277,373,4361
11,11220,1122058,19681,15649,206,3826
11,11220,1122059,24190,18739,358,5093
11,11220,1122060,18270,14684,118,3468
11,11220,1122061,10066,8108,60,1898
11,11220,1122062,12585,10001,54,2530
11,11220,1122063,16168,13038,104,3026
11,11220,1122064,20825,16936,133,3756
11,11220,1122065,10076,8103,52,1920
11,11220,1122066,18716,15130,260,3326
11,11220,1122067,32019,24491,902,6627
11,11220,1122068,15157,12238,149,2770
