sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11040,1104052,4603,3612,23,969
11,11040,1104054,17036,13728,98,3210
11,11040,1104055,12091,9732,93,2266
11,11040,1104056,10545,8440,63,2041
11,11040,1104057,2940,2288,14,638
11,11040,1104058,8808,7041,54,1712
11,11040,1104059,6269,4894,28,1347
11,11040,1104062,27039,21438,208,5393
11,11040,1104065,21977,17278,346,4353
11,11040,1104066,24466,19757,254,4456
11,11040,1104067,21687,17032,268,4388
11,11040,1104068,5484,4568,27,889
11,11040,1104069,32899,26138,274,6488
11,11040,1104070,18700,14879,195,3626
11,11040,1104071,7288,5748,34,1506
11,11040,1104072,8955,6990,52,1913
11,11040,1104073,18202,14319,220,3663
