sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11080,1108058,7856,6392,36,1429
11,11080,1108059,2690,2181,11,498
11,11080,1108060,5832,4635,25,1171
11,11080,1108061,6366,5027,28,1310
11,11080,1108062,6455,5262,27,1166
11,11080,1108063,28534,22329,203,6001
11,11080,1108064,15976,12781,96,3100
11,11080,1108065,7162,6028,24,1110
11,11080,1108066,3454,2921,12,521
11,11080,1108068,19222,15443,111,3668
11,11080,1108071,11695,9640,64,1991
11,11080,1108072,14360,11534,94,2733
11,11080,1108076,6540,5542,21,977
11,11080,1108077,18947,14943,197,3807
11,11080,1108078,12174,10098,50,2025
11,11080,1108081,4695,3871,19,805
11,11080,1108082,4959,3953,23,982
11,11080,1108083,8166,6521,39,1605
11,11080,1108084,11560,9252,59,2249
11,11080,1108085,13812,10866,80,2866
