sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11240,1124051,21767,17007,213,4547
11,11240,1124052,18405,14380,147,3878
11,11240,1124053,30727,23566,438,6723
11,11240,1124054,3113,2609,9,495
11,11240,1124055,2957,2527,7,423
11,11240,1124056,5854,4970,19,865
11,11240,1124057,11426,9428,54,1943
11,11240,1124058,10935,9135,45,1755
11,11240,1124059,13805,11314,74,2416
11,11240,1124060,6468,5452,24,992
11,11240,1124061,12804,10494,65,2245
11,11240,1124062,15294,12542,81,2670
11,11240,1124063,6484,5440,26,1018
11,11240,1124064,10507,8698,48,1761
11,11240,1124065,7514,6201,33,1280
11,11240,1124066,17372,14190,96,3086
11,11240,1124067,6323,5253,22,1048
11,11240,1124068,9819,8060,48,1711
11,11240,1124069,18605,15171,118,3317
11,11240,1124071,8612,7147,41,1424
11,11240,1124075,9353,7921,34,1398
11,11240,1124077,20877,16427,152,4298
11,11240,1124078,9772,8020,50,1702
11,11240,1124079,22139,17430,164,4545
11,11240,1124080,14092,11367,94,2631
11,11240,1124081,18251,14296,184,3771
11,11240,1124082,17819,14102,218,3499
