sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11150,1115051,20765,16163,162,4440
11,11150,1115052,11546,8855,81,2611
11,11150,1115053,12110,9515,75,2520
11,11150,1115054,10877,8381,64,2433
11,11150,1115057,10341,8186,79,2076
11,11150,1115058,13704,10876,87,2741
11,11150,1115059,25515,20252,230,5033
11,11150,1115060,23696,19039,187,4470
11,11150,1115061,7582,6179,44,1359
11,11150,1115062,12848,10474,84,2289
11,11150,1115063,14410,11708,100,2602
11,11150,1115064,4509,3479,23,1007
11,11150,1115065,11611,8875,88,2648
11,11150,1115066,9836,8029,56,1751
11,11150,1115069,11413,8738,80,2595
11,11150,1115070,9360,7118,69,2173
11,11150,1115071,18225,14223,143,3860
11,11150,1115072,17321,13671,117,3532
