sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11190,1119054,19712,15150,138,4424
11,11190,1119055,7911,6007,43,1861
11,11190,1119056,21150,16611,177,4362
11,11190,1119061,16582,12586,154,3842
11,11190,1119062,26789,20771,263,5755
11,11190,1119063,18120,14234,116,3770
11,11190,1119065,7854,5916,37,1901
11,11190,1119066,7277,5524,38,1714
11,11190,1119067,7943,6087,40,1817
11,11190,1119068,11913,9220,64,2629
11,11190,1119069,13325,10350,77,2897
11,11190,1119070,9076,6931,48,2098
11,11190,1119071,11654,9090,65,2500
11,11190,1119072,10458,8031,57,2370
11,11190,1119073,7620,5730,36,1854
11,11190,1119074,19994,15625,146,4223
11,11190,1119075,9342,7145,48,2149
11,11190,1119076,10391,7872,73,2446
