sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11030,1103051,9225,7062,41,2122
11,11030,1103052,17882,14237,114,3531
11,11030,1103053,14965,11766,77,3122
11,11030,1103057,16078,12423,167,3488
11,11030,1103058,7780,6133,39,1609
11,11030,1103059,4680,3545,22,1114
11,11030,1103063,20849,16343,321,4186
11,11030,1103064,43841,34306,643,8892
11,11030,1103065,8394,6767,62,1566
11,11030,1103066,12280,9700,65,2515
11,11030,1103069,23866,18646,356,4864
11,11030,1103070,18945,15015,254,3675
11,11030,1103071,8522,6454,43,2024
11,11030,1103072,9643,7404,50,2189
11,11030,1103073,11613,9149,57,2407
11,11030,1103074,27782,21800,272,5710
