sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11120,1112051,8577,7084,35,1459
11,11120,1112052,9895,8137,39,1719
11,11120,1112055,7852,6571,28,1253
11,11120,1112056,8129,6809,29,1291
11,11120,1112057,4420,3752,15,652
11,11120,1112058,9183,7648,35,1500
11,11120,1112059,9185,7662,36,1487
11,11120,1112060,4503,3885,13,605
11,11120,1112065,6344,5354,29,961
11,11120,1112066,6101,5188,28,885
11,11120,1112067,12925,10607,81,2236
11,11120,1112068,12791,10705,48,2038
11,11120,1112071,6069,5017,22,1029
11,11120,1112072,7626,6327,28,1271
11,11120,1112073,5487,4706,18,764
11,11120,1112074,8336,7022,31,1283
