sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11010,1101053,10331,8214,54,2063
11,11010,1101054,7351,6053,33,1266
11,11010,1101055,18531,14836,111,3583
11,11010,1101056,11520,9176,67,2277
11,11010,1101057,18875,15280,96,3499
11,11010,1101058,10266,8249,52,1966
11,11010,1101060,3563,2885,15,664
11,11010,1101061,13487,10695,72,2720
11,11010,1101063,10594,8345,53,2196
11,11010,1101064,14868,11883,75,2911
11,11010,1101067,17687,13912,97,3678
11,11010,1101069,2323,1803,9,510
11,11010,1101070,10836,8507,54,2275
11,11010,1101071,14346,11311,82,2953
11,11010,1101072,5621,4595,23,1004
11,11010,1101073,6459,5227,31,1201
