sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11020,1102052,11439,8930,59,2450
11,11020,1102054,11814,9247,57,2511
11,11020,1102055,12318,9653,73,2592
11,11020,1102057,10720,8388,64,2268
11,11020,1102058,16096,12702,91,3302
11,11020,1102059,12224,9567,64,2593
11,11020,1102060,11845,9170,62,2614
11,11020,1102065,11771,9242,61,2469
11,11020,1102067,8771,6889,43,1838
11,11020,1102068,9628,7386,50,2192
11,11020,1102069,9136,7162,44,1930
11,11020,1102070,27858,21837,176,5845
11,11020,1102071,7287,5694,42,1551
11,11020,1102072,14110,11054,76,2980
11,11020,1102073,6513,5097,30,1385
