sido_code,sigungu_code,emd_code,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT
11,11070,1107052,14998,12139,100,2759
11,11070,1107054,15534,12788,118,2628
11,11070,1107055,21387,17239,222,3926
11,11070,1107057,8490,7027,56,1407
11,11070,1107059,4170,3600,17,553
11,11070,1107060,9343,7826,43,1474
11,11070,1107061,9841,8194,48,1599
11,11070,1107062,17908,14188,214,3506
11,11070,1107064,13296,10543,98,2655
11,11070,1107065,10740,8443,149,2148
11,11070,1107068,9884,8481,36,1368
11,11070,1107069,12784,9930,144,2711
11,11070,1107070,3676,3185,14,477
11,11070,1107071,8527,7342,32,1153
11,11070,1107072,7198,6156,30,1012
11,11070,1107073,5416,4525,39,851
