개방자치단,관리번호,인허가일자,인허가취소,영업상태코,영업상태명,상세영업상,상세영업_1,폐업일자,휴업시작일,휴업종료일,재개업일자,전화번호,소재지면적,소재지우편,지번주소,도로명주소,도로명우편,사업장명,최종수정일,데이터갱신,데이터갱_1,업태구분명,좌표정보(X,좌표정보(Y,축산업무구,축산물가공,축산일련번,권리주체일,총인원
3180000,3.18E+17,20220406,,1,영업/정상,0,정상,,,,,02-2135-7228,,,서울특별시 영등포구 대림동 1127 e편한세상 영등포 아델포레,서울특별시 영등포구 신길로 29 105동 116호 (대림동 e편한세상 영등포 아델포레),7440,동물병원예지,2.02204E+13,I,44534.00556,,947628.0109,1943861.827,,,,,
3060000,3.06E+17,20201109,,1,영업/정상,0,정상,,,,,949-7577,0,,서울특별시 중랑구 묵동 238-8 하태윤산부인과,서울특별시 중랑구 동일로 925 3층 (묵동),2005,치료해 주오,2.02205E+13,U,44534.96389,,962579.8702,1956837.524,,,,,
3230000,3.23E+17,20220331,,1,영업/정상,0,정상,,,,,,0,,서울특별시 송파구 방이동 180-3 올림픽타워빌,서울특별시 송파구 백제고분로 506 4층 (방이동 올림픽타워빌),5627,베를린 동물치과센터,2.02204E+13,U,44534.00486,,965955.8019,1945973.193,,,,,
3130000,3.13E+17,20140314,,1,영업/정상,0,정상,,,,,02-322-1275,0,,서울특별시 마포구 동교동 200-29,서울특별시 마포구 동교로 193 (동교동),3993,워너비 동물병원,2.02205E+13,U,44534.96389,,948923.0694,1950780.674,,,,,
3220000,3.22E+17,20210406,,1,영업/정상,0,정상,,,,,02-511-7522,0,,서울특별시 강남구 청담동 46 베디베로스퀘어,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 234층 (청담동),6068,VIP동물의료센터 청담점,2.02205E+13,U,44534.91736,,960077.7118,1946473.83,,,,,
3160000,3.16E+17,20200728,,1,영업/정상,0,정상,,,,,02-2060-7975,,,서울특별시 구로구 개봉동 403-229  조양빌딩1층,서울특별시 구로구 개봉로20길 26 조양빌딩 1층 (개봉동),8329,모두동물병원,2.02203E+13,U,44532.875,,943037.0724,1943664.314,,,,,
3230000,3.23E+17,20220523,,1,영업/정상,0,정상,,,,,02-420-9993,,,서울특별시 송파구 송파동 103-29,서울특별시 송파구 가락로 162 1층 (송파동),5675,한양동물병원,2.02205E+13,I,44534.92014,,965761.8775,1944653.016,,,,,
3170000,3.17E+17,20220524,,1,영업/정상,0,정상,,,,,02-867-7776,0,,서울특별시 금천구 시흥동 837,서울특별시 금천구 독산로 70-1 1층 (시흥동),8573,허브동물병원,2.02205E+13,I,44534.92083,,947422.5962,1939242.56,,,,,
3240000,3.24E+17,20200207,,1,영업/정상,0,정상,,,,,02-6949-5775,0,,서울특별시 강동구 길동 413-46 베스트올,서울특별시 강동구 양재대로 1453 베스트올 1층 (길동),5353,펫트리동물의료센터,2.02203E+13,U,44534.00069,,968024.7738,1948243.394,,,,,
3220000,3.22E+17,20090814,,1,영업/정상,0,정상,,,,,02-529-5575,102.77,,서울특별시 강남구 역삼동 798-20 1층 2층,서울특별시 강남구 도곡로 189 12층 (역삼동 정금빌딩),6257,예은동물병원,2.02205E+13,U,44534.92292,,959266.4985,1943481.152,,,,,
3220000,3.22E+17,20220530,,1,영업/정상,0,정상,,,,,02-529-7577,0,,서울특별시 강남구 개포동 1191-4 지수빌딩,서울특별시 강남구 논현로 18 지수빌딩 2층 (개포동),6313,위드펫동물병원,2.02205E+13,I,44536.00069,,960127.1474,1941322.836,,,,,
3010000,3.01E+17,20140620,,1,영업/정상,0,정상,,,,,02-2233-6675,44.77,,서울특별시 중구 신당동 44-17,서울특별시 중구 다산로36길 83 1층 (신당동),4584,신당 좋아요 동물병원,2.02205E+13,U,44536.00139,,957457.0948,1951045.188,,,,,
3090000,3.09E+17,20220524,,1,영업/정상,0,정상,,,,,900-7555,,,서울특별시 도봉구 쌍문동 215-1,서울특별시 도봉구 해등로26길 7 111 112호 (쌍문동),1387,아이조은동물병원,2.02206E+13,U,44536.00278,,958702.9159,1961909.607,,,,,
