번호,개방서비스,개방서비_1,개방자치단,관리번호,인허가일자,인허가취소,영업상태구,영업상태명,상세영업상,상세영업_1,폐업일자,휴업시작일,휴업종료일,재개업일자,소재지전화,소재지면적,소재지우편,소재지전체,도로명전체,도로명우편,사업장명,최종수정시,데이터갱신,데이터갱_1,업태구분명,좌표정보(x,좌표정보(y,업무구분명,상세업무구,권리주체일,총직원수
5,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20220727,,1,영업/정상,0,정상,,,,,,0,,서울특별시 양천구 신월동 ***-*,"서울특별시 양천구 남부순환로**길 **, *층 (신월동)",7916,멍캉스,2.02207E+13,I,44771.01573,,940987.0096,1947503.474,동물위탁관리업,동물위탁관리업,0,0
6,동물위탁관리업,02_03_10_P,3150000,3.15E+17,20220728,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강서구 화곡동 **,"서울특별시 강서구 화곡로 ***, *,*층 (화곡동)",7678,멍블랑,2.02207E+13,I,44772.01561,,942155.8185,1949652.148,동물위탁관리업,동물위탁관리업,0,0
9,동물위탁관리업,02_03_10_P,3220000,3.22E+17,20220727,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강남구 청담동 **-*,"서울특별시 강남구 영동대로 ***, *층 (청담동)",6072,주식회사 펫타리움,2.02207E+13,I,44771.01573,,960617.4841,1946806.335,동물위탁관리업,동물위탁관리업,L00,0
449,동물위탁관리업,02_03_10_P,3220000,3.22E+17,20220708,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강남구 신사동 ***-**,"서울특별시 강남구 도산대로**길 **, *층 (신사동)",6033,냥글냥글,2.02207E+13,I,44752.01561,,958027.9225,1946805.782,동물위탁관리업,동물위탁관리업,0,0
1301,동물위탁관리업,02_03_10_P,3070000,3.07E+17,20220721,,1,영업/정상,0,정상,,,,,,0,,서울특별시 성북구 정릉동 ***-* *층,"서울특별시 성북구 북악산로 ***, *층 (정릉동)",2818,놀펫 강아지유치원 애견호텔 서울애견유치원 성북본원,2.02207E+13,I,44765.01561,,957279.0249,1955432.588,동물위탁관리업,동물위탁관리업,0,0
1378,동물위탁관리업,02_03_10_P,3150000,3.15E+17,20220722,,1,영업/정상,0,정상,,,,,7041855551,0,,서울특별시 강서구 등촌동 ***-* 현대교육센터,"서울특별시 강서구 강서로**길 **, 현대교육센터 *층 (등촌동)",7586,라운지독,2.02207E+13,I,44766.01561,,942081.291,1951264.665,동물위탁관리업,동물위탁관리업,0,0
1379,동물위탁관리업,02_03_10_P,3220000,3.22E+17,20220707,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강남구 청담동 **-*,"서울특별시 강남구 도산대로**길 **, *층 (청담동)",6015,퍼피랩 익스클루시브,2.02207E+13,I,44751.01563,,959756.0326,1947172.703,동물위탁관리업,동물위탁관리업,0,0
1384,동물위탁관리업,02_03_10_P,3220000,3.22E+17,20220701,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강남구 논현동 **-** 논현빌딩,"서울특별시 강남구 도산대로**길 **, *층 (논현동)",6055,댕브리데이,2.02207E+13,I,44745.01561,,959076.9152,1946718.517,동물위탁관리업,동물위탁관리업,0,0
1389,동물위탁관리업,02_03_10_P,3240000,3.24E+17,20220729,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강동구 고덕동 ***-* *층,"서울특별시 강동구 아리수로**길 **-**, *층 (고덕동)",5204,에듀펫 숲유치원,2.02207E+13,I,44773.01561,,968734.6691,1951458.09,동물위탁관리업,동물위탁관리업,L00,0
1514,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20181017,,1,영업/정상,0,정상,,,,,26546183,0,,서울특별시 양천구 신정동 ***-**,서울특별시 양천구 목동동로**길 * (신정동),8014,노아동물병원,2.02204E+13,I,44744.73227,,944317.4171,1946454.479,동물위탁관리업,동물위탁관리업,0,0
1515,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20181123,,1,영업/정상,0,정상,,,,,263385959,0,,서울특별시 양천구 신정동 ****-**,서울특별시 양천구 중앙로**길 ** (신정동),8085,몽몽바블펫#,2.02204E+13,I,44744.73227,,943070.9717,1946584.552,동물위탁관리업,동물위탁관리업,0,0
1516,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20190123,,1,영업/정상,0,정상,,,,,02-2065-0353,0,,서울특별시 양천구 신정동 ***-** *층,"서울특별시 양천구 중앙로**길 *, *층 (신정동)",7942,뽀송하개,2.02204E+13,I,44744.73227,,942569.36,1947220.552,동물위탁관리업,동물위탁관리업,0,0
1517,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20190128,,1,영업/정상,0,정상,,,,,,0,,서울특별시 양천구 신정동 ****-** *층,"서울특별시 양천구 중앙로 ***, *층 (신정동)",8091,캣츠아일랜드,2.02204E+13,I,44744.73227,,942914.9306,1946241.54,동물위탁관리업,동물위탁관리업,0,0
1518,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20190201,,1,영업/정상,0,정상,,,,,,0,,서울특별시 양천구 신월동 ***-**,서울특별시 양천구 곰달래로 ** (신월동),7923,알콩달콩 애견,2.02204E+13,I,44744.73227,,941262.7775,1947760.521,동물위탁관리업,동물위탁관리업,0,0
1519,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20190527,,1,영업/정상,0,정상,,,,,26437953,0,,서울특별시 양천구 신정동 ***-** 목동파크자이 상가 비동 ***호,"서울특별시 양천구 목동남로*길 **, 상가 비동 ***호 (신정동, 목동파크자이)",8102,스테이펫_호텔,2.02204E+13,I,44744.73227,,944153.2243,1945437.14,동물위탁관리업,동물위탁관리업,0,0
1520,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20190716,,1,영업/정상,0,정상,,,,,26970034,0,,서울특별시 양천구 목동 ***-**,서울특별시 양천구 목동중앙본로 ** (목동),7954,립독,2.02204E+13,I,44744.73227,,944166.4144,1948973.238,동물위탁관리업,동물위탁관리업,0,0
1521,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20190814,,1,영업/정상,0,정상,,,,,,0,,서울특별시 양천구 목동 *** 목동신시가지아파트*단지,"서울특별시 양천구 목동서로 *** (목동, 목동신시가지아파트*단지)",7982,파리스동물병원,2.02204E+13,I,44744.73227,,944528.6841,1948218.36,동물위탁관리업,동물위탁관리업,0,0
1522,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20190910,,1,영업/정상,0,정상,,,,,,0,,서울특별시 양천구 신월동 ***-*,서울특별시 양천구 오목로 **-* (신월동),8031,너.애.개,2.02204E+13,I,44744.73227,,941582.1631,1946789.754,동물위탁관리업,동물위탁관리업,0,0
1523,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20191127,,1,영업/정상,0,정상,,,,,,0,,서울특별시 양천구 목동 ***-*,서울특별시 양천구 목동중앙남로*길 * (목동),7963,냥플레이스,2.02204E+13,I,44744.73227,,944042.4056,1948425.328,동물위탁관리업,동물위탁관리업,0,0
1524,동물위탁관리업,02_03_10_P,3140000,3.14E+17,20191211,,1,영업/정상,0,정상,,,,,,0,,서울특별시 양천구 신월동 ***-*,서울특별시 양천구 중앙로**길 ** (신월동),7936,예뻐지개,2.02204E+13,I,44744.73227,,941834.4117,1947055.508,동물위탁관리업,동물위탁관리업,0,0
