emd_code,ALL_AADT,,법정동,행정구역분류,법정기관코드,교통량
1101053,10331,⇒,통의동,1101053,11110106,861 
1101054,7351,,적선동,1101053,11110107,861 
1101055,18531,,체부동,1101053,11110112,861 
1101056,11520,,필운동,1101053,11110113,861 
1101057,18875,,내자동,1101053,11110114,861 
1101058,10266,,사직동,1101053,11110115,861 
1101060,3563,,도렴동,1101053,11110116,861 
1101061,13487,,당주동,1101053,11110117,861 
1101063,10594,,내수동,1101053,11110118,861 
1101064,14868,,세종로,1101053,11110119,861 
1101067,17687,,신문로1가,1101053,11110120,861 
1101069,2323,,신문로2가,1101053,11110121,861 
1101070,10836,,팔판동,1101054,11110139,1050 
1101071,14346,,삼청동,1101054,11110140,1050 
1101072,5621,,안국동,1101054,11110141,1050 
1101073,6459,,소격동,1101054,11110142,1050 
1102052,11439,,화동,1101054,11110143,1050 
1102054,11814,,사간동,1101054,11110144,1050 
1102055,12318,,송현동,1101054,11110145,1050 
1102057,10720,,부암동,1101055,11110184,6177 
1102058,16096,,홍지동,1101055,11110185,6177 
1102059,12224,,신영동,1101055,11110186,6177 
1102060,11845,,구기동,1101056,11110182,5760 
1102065,11771,,평창동,1101056,11110183,5760 
1102067,8771,,무악동,1101057,11110187,18875 
1102068,9628,,교남동,1101058,11110176,1711 
1102069,9136,,평동,1101058,11110177,1711 
1102070,27858,,송월동,1101058,11110178,1711 
1102071,7287,,홍파동,1101058,11110179,1711 
1102072,14110,,교북동,1101058,11110180,1711 
1102073,6513,,행촌동,1101058,11110181,1711 
1103051,9225,,가회동,1101060,11110146,891 
1103052,17882,,재동,1101060,11110147,891 
1103053,14965,,계동,1101060,11110148,891 
1103057,16078,,원서동,1101060,11110149,891 
1103058,7780,,청진동,1101061,11110122,482 
1103059,4680,,서린동,1101061,11110123,482 
1103063,20849,,수송동,1101061,11110124,482 
1103064,43841,,중학동,1101061,11110125,482 
1103065,8394,,종로1가,1101061,11110126,482 
1103066,12280,,공평동,1101061,11110127,482 
1103069,23866,,관훈동,1101061,11110128,482 
1103070,18945,,견지동,1101061,11110129,482 
1103071,8522,,와룡동,1101061,11110130,482 
1103072,9643,,권농동,1101061,11110131,482 
1103073,11613,,운니동,1101061,11110132,482 
1103074,27782,,익선동,1101061,11110133,482 
1104052,4603,,경운동,1101061,11110134,482 
1104054,17036,,관철동,1101061,11110135,482 
1104055,12091,,인사동,1101061,11110136,482 
1104056,10545,,낙원동,1101061,11110137,482 
1104057,2940,,종로2가,1101061,11110138,482 
1104058,8808,,훈정동,1101061,11110150,482 
1104059,6269,,묘동,1101061,11110151,482 
1104062,27039,,봉익동,1101061,11110152,482 
1104065,21977,,돈의동,1101061,11110153,482 
1104066,24466,,장사동,1101061,11110154,482 
1104067,21687,,관수동,1101061,11110155,482 
1104068,5484,,종로3가,1101061,11110156,482 
1104069,32899,,인의동,1101061,11110157,482 
1104070,18700,,예지동,1101061,11110158,482 
1104071,7288,,원남동,1101061,11110159,482 
1104072,8955,,종로4가,1101061,11110161,482 
1104073,18202,,연지동,1101063,11110160,2119 
1105053,18077,,효제동,1101063,11110162,2119 
1105054,14404,,종로5가,1101063,11110163,2119 
1105055,19762,,종로6가,1101063,11110164,2119 
1105056,16685,,충신동,1101063,11110167,2119 
1105057,25663,,이화동,1101064,11110165,4956 
1105058,7969,,연건동,1101064,11110166,4956 
1105059,14881,,동숭동,1101064,11110168,4956 
1105060,8840,,혜화동,1101065,11110169,3717 
1105061,15112,,명륜1가,1101065,11110170,3717 
1105062,15791,,명륜2가,1101065,11110171,3717 
1105063,10983,,명륜4가,1101065,11110172,3717 
1105064,7481,,명륜3가,1101066,11110173,14868 
1105065,24512,,창신동,1101067,11110174,17687 
1105066,8989,,창신동,1101068,11110174,17687 
1105067,26660,,창신동,1101069,11110174,2323 
1106071,9277,,숭인동,1101070,11110175,10836 
1106072,13305,,숭인동,1101071,11110175,14346 
1106073,15737,,청운동,1101072,11110101,562 
1106080,11253,,신교동,1101072,11110102,562 
1106081,11482,,궁정동,1101072,11110103,562 
1106082,20217,,효자동,1101072,11110104,562 
1106083,7825,,창성동,1101072,11110105,562 
1106084,9061,,통인동,1101072,11110108,562 
1106086,7187,,누상동,1101072,11110109,562 
1106087,15808,,누하동,1101072,11110110,562 
1106088,9838,,옥인동,1101072,11110111,562 
1106089,7876,,세종로,1101072,11110119,562 
1106090,10747,,소공동,1102052,11140111,953 
1106091,10229,,북창동,1102052,11140113,953 
1107052,14998,,태평로2가,1102052,11140114,953 
1107054,15534,,남대문로2가,1102052,11140115,953 
1107055,21387,,남대문로3가,1102052,11140116,953 
1107057,8490,,남대문로4가,1102052,11140117,953 
1107059,4170,,봉래동1가,1102052,11140119,953 
1107060,9343,,서소문동,1102052,11140166,953 
1107061,9841,,정동,1102052,11140167,953 
1107062,17908,,순화동,1102052,11140168,953 
1107064,13296,,의주로1가,1102052,11140169,953 
1107065,10740,,충정로1가,1102052,11140170,953 
1107068,9884,,남창동,1102054,11140112,1181 
1107069,12784,,남대문로3가,1102054,11140116,1181 
1107070,3676,,남대문로4가,1102054,11140117,1181 
1107071,8527,,남대문로5가,1102054,11140118,1181 
1107072,7198,,봉래동1가,1102054,11140119,1181 
1107073,5416,,봉래동2가,1102054,11140120,1181 
1108058,7856,,회현동1가,1102054,11140121,1181 
1108059,2690,,회현동2가,1102054,11140122,1181 
1108060,5832,,충무로1가,1102054,11140124,1181 
1108061,6366,,순화동,1102054,11140168,1181 
1108062,6455,,무교동,1102055,11140101,536 
1108063,28534,,다동,1102055,11140102,536 
1108064,15976,,태평로1가,1102055,11140103,536 
1108065,7162,,을지로1가,1102055,11140104,536 
1108066,3454,,을지로2가,1102055,11140105,536 
1108068,19222,,남대문로1가,1102055,11140106,536 
1108071,11695,,삼각동,1102055,11140107,536 
1108072,14360,,수하동,1102055,11140108,536 
1108076,6540,,장교동,1102055,11140109,536 
1108077,18947,,수표동,1102055,11140110,536 
1108078,12174,,남대문로2가,1102055,11140115,536 
1108081,4695,,회현동1가,1102055,11140121,536 
1108082,4959,,회현동2가,1102055,11140122,536 
1108083,8166,,회현동3가,1102055,11140123,536 
1108084,11560,,충무로1가,1102055,11140124,536 
1108085,13812,,충무로2가,1102055,11140125,536 
1109060,14450,,명동1가,1102055,11140126,536 
1109061,6236,,명동2가,1102055,11140127,536 
1109062,10217,,남산동1가,1102055,11140128,536 
1109063,9016,,남산동2가,1102055,11140129,536 
1109064,8886,,남산동3가,1102055,11140130,536 
1109065,11149,,저동1가,1102055,11140131,536 
1109069,10728,,예장동,1102055,11140142,536 
1109070,8581,,충무로4가,1102057,11140132,975 
1109071,11730,,충무로5가,1102057,11140133,975 
1109072,7348,,묵정동,1102057,11140136,975 
1109073,5612,,필동1가,1102057,11140137,975 
1109074,6056,,필동2가,1102057,11140138,975 
1109075,8198,,필동3가,1102057,11140139,975 
1110051,6307,,남학동,1102057,11140140,975 
