법정동명,행정동코드,법정동코드,교통량
통의동,1101053,11110106,861
적선동,1101053,11110107,861
체부동,1101053,11110112,861
필운동,1101053,11110113,861
내자동,1101053,11110114,861
사직동,1101053,11110115,861
도렴동,1101053,11110116,861
당주동,1101053,11110117,861
내수동,1101053,11110118,861
세종로,1101053,11110119,861
신문로1가,1101053,11110120,861
신문로2가,1101053,11110121,861
팔판동,1101054,11110139,1050
삼청동,1101054,11110140,1050
안국동,1101054,11110141,1050
소격동,1101054,11110142,1050
화동,1101054,11110143,1050
사간동,1101054,11110144,1050
송현동,1101054,11110145,1050
부암동,1101055,11110184,6177
홍지동,1101055,11110185,6177
신영동,1101055,11110186,6177
구기동,1101056,11110182,5760
평창동,1101056,11110183,5760
무악동,1101057,11110187,18875
교남동,1101058,11110176,1711
평동,1101058,11110177,1711
송월동,1101058,11110178,1711
홍파동,1101058,11110179,1711
교북동,1101058,11110180,1711
행촌동,1101058,11110181,1711
가회동,1101060,11110146,891
재동,1101060,11110147,891
계동,1101060,11110148,891
원서동,1101060,11110149,891
청진동,1101061,11110122,482
서린동,1101061,11110123,482
수송동,1101061,11110124,482
중학동,1101061,11110125,482
종로1가,1101061,11110126,482
공평동,1101061,11110127,482
관훈동,1101061,11110128,482
견지동,1101061,11110129,482
와룡동,1101061,11110130,482
권농동,1101061,11110131,482
운니동,1101061,11110132,482
익선동,1101061,11110133,482
경운동,1101061,11110134,482
관철동,1101061,11110135,482
인사동,1101061,11110136,482
낙원동,1101061,11110137,482
종로2가,1101061,11110138,482
훈정동,1101061,11110150,482
묘동,1101061,11110151,482
봉익동,1101061,11110152,482
돈의동,1101061,11110153,482
장사동,1101061,11110154,482
관수동,1101061,11110155,482
종로3가,1101061,11110156,482
인의동,1101061,11110157,482
예지동,1101061,11110158,482
원남동,1101061,11110159,482
종로4가,1101061,11110161,482
연지동,1101063,11110160,2119
효제동,1101063,11110162,2119
종로5가,1101063,11110163,2119
종로6가,1101063,11110164,2119
충신동,1101063,11110167,2119
이화동,1101064,11110165,4956
연건동,1101064,11110166,4956
동숭동,1101064,11110168,4956
혜화동,1101065,11110169,3717
명륜1가,1101065,11110170,3717
명륜2가,1101065,11110171,3717
명륜4가,1101065,11110172,3717
명륜3가,1101066,11110173,14868
창신동,1101067,11110174,17687
창신동,1101068,11110174,17687
창신동,1101069,11110174,2323
숭인동,1101070,11110175,10836
숭인동,1101071,11110175,14346
청운동,1101072,11110101,562
신교동,1101072,11110102,562
궁정동,1101072,11110103,562
효자동,1101072,11110104,562
창성동,1101072,11110105,562
통인동,1101072,11110108,562
누상동,1101072,11110109,562
누하동,1101072,11110110,562
옥인동,1101072,11110111,562
세종로,1101072,11110119,562
소공동,1102052,11140111,953
북창동,1102052,11140113,953
태평로2가,1102052,11140114,953
남대문로2가,1102052,11140115,953
남대문로3가,1102052,11140116,953
남대문로4가,1102052,11140117,953
봉래동1가,1102052,11140119,953
서소문동,1102052,11140166,953
정동,1102052,11140167,953
순화동,1102052,11140168,953
의주로1가,1102052,11140169,953
충정로1가,1102052,11140170,953
남창동,1102054,11140112,1181
남대문로3가,1102054,11140116,1181
남대문로4가,1102054,11140117,1181
남대문로5가,1102054,11140118,1181
봉래동1가,1102054,11140119,1181
봉래동2가,1102054,11140120,1181
회현동1가,1102054,11140121,1181
회현동2가,1102054,11140122,1181
충무로1가,1102054,11140124,1181
순화동,1102054,11140168,1181
무교동,1102055,11140101,536
다동,1102055,11140102,536
태평로1가,1102055,11140103,536
을지로1가,1102055,11140104,536
을지로2가,1102055,11140105,536
남대문로1가,1102055,11140106,536
삼각동,1102055,11140107,536
수하동,1102055,11140108,536
장교동,1102055,11140109,536
수표동,1102055,11140110,536
남대문로2가,1102055,11140115,536
회현동1가,1102055,11140121,536
회현동2가,1102055,11140122,536
회현동3가,1102055,11140123,536
충무로1가,1102055,11140124,536
충무로2가,1102055,11140125,536
명동1가,1102055,11140126,536
명동2가,1102055,11140127,536
남산동1가,1102055,11140128,536
남산동2가,1102055,11140129,536
남산동3가,1102055,11140130,536
저동1가,1102055,11140131,536
예장동,1102055,11140142,536
충무로4가,1102057,11140132,975
충무로5가,1102057,11140133,975
묵정동,1102057,11140136,975
필동1가,1102057,11140137,975
필동2가,1102057,11140138,975
필동3가,1102057,11140139,975
남학동,1102057,11140140,975
주자동,1102057,11140141,975
예장동,1102057,11140142,975
장충동2가,1102057,11140144,975
충무로3가,1102057,11140158,975
묵정동,1102058,11140136,5365
장충동1가,1102058,11140143,5365
장충동2가,1102058,11140144,5365
충무로4가,1102059,11140132,1222
충무로5가,1102059,11140133,1222
인현동2가,1102059,11140134,1222
예관동,1102059,11140135,1222
광희동1가,1102059,11140145,1222
광희동2가,1102059,11140146,1222
쌍림동,1102059,11140147,1222
을지로6가,1102059,11140148,1222
을지로7가,1102059,11140149,1222
오장동,1102059,11140154,1222
을지로4가,1102060,11140150,1185
을지로5가,1102060,11140151,1185
주교동,1102060,11140152,1185
방산동,1102060,11140153,1185
을지로3가,1102060,11140155,1185
입정동,1102060,11140156,1185
산림동,1102060,11140157,1185
초동,1102060,11140159,1185
인현동1가,1102060,11140160,1185
저동2가,1102060,11140161,1185
신당동,1102061,11140162,3948
흥인동,1102061,11140163,3948
무학동,1102061,11140164,3948
신당동,1102062,11140162,11845
신당동,1102063,11140162,11845
신당동,1102064,11140162,11845
신당동,1102065,11140162,11771
신당동,1102066,11140162,11771
황학동,1102067,11140165,8771
중림동,1102068,11140171,2407
의주로2가,1102068,11140172,2407
만리동1가,1102068,11140173,2407
만리동2가,1102068,11140174,2407
후암동,1103051,11170101,9225
용산동2가,1103052,11170102,8941
용산동4가,1103052,11170103,8941
갈월동,1103053,11170104,3741
남영동,1103053,11170105,3741
용산동1가,1103053,11170106,3741
동자동,1103053,11170107,3741
신창동,1103057,11170114,3216
산천동,1103057,11170115,3216
청암동,1103057,11170116,3216
원효로3가,1103057,11170117,3216
원효로4가,1103057,11170118,3216
효창동,1103058,11170119,7780
도원동,1103059,11170120,2340
용문동,1103059,11170121,2340
이촌동,1103063,11170129,20849
이촌동,1103064,11170129,43841
이태원동,1103065,11170130,8394
이태원동,1103066,11170130,12280
동빙고동,1103069,11170132,5967
서빙고동,1103069,11170133,5967
주성동,1103069,11170134,5967
용산동6가,1103069,11170135,5967
보광동,1103070,11170136,18945
서계동,1103071,11170108,2131
청파동1가,1103071,11170109,2131
청파동2가,1103071,11170110,2131
청파동3가,1103071,11170111,2131
원효로1가,1103072,11170112,2411
원효로2가,1103072,11170113,2411
문배동,1103072,11170122,2411
신계동,1103072,11170123,2411
한강로1가,1103073,11170124,2323
한강로2가,1103073,11170125,2323
용산동3가,1103073,11170126,2323
용산동5가,1103073,11170127,2323
한강로3가,1103073,11170128,2323
한남동,1103074,11170131,27782
하왕십리동,1104052,11200102,4603
마장동,1104054,11200105,17036
사근동,1104055,11200106,6046
행당동,1104055,11200107,6046
행당동,1104056,11200107,10545
행당동,1104057,11200107,2940
응봉동,1104058,11200108,8808
금호동1가,1104059,11200109,6269
금호동4가,1104062,11200112,27039
성수동1가,1104065,11200114,21977
성수동1가,1104066,11200114,24466
성수동2가,1104067,11200115,21687
성수동2가,1104068,11200115,5484
송정동,1104069,11200118,32899
송정동,1104070,11200118,9350
용답동,1104070,11200122,9350
상왕십리동,1104071,11200101,1822
하왕십리동,1104071,11200102,1822
홍익동,1104071,11200103,1822
도선동,1104071,11200104,1822
금호동2가,1104072,11200110,4478
금호동3가,1104072,11200111,4478
옥수동,1104073,11200113,18202
화양동,1105053,11215107,18077
군자동,1105054,11215109,14404
중곡동,1105055,11215101,19762
중곡동,1105056,11215101,16685
중곡동,1105057,11215101,25663
중곡동,1105058,11215101,7969
능동,1105059,11215102,14881
구의동,1105060,11215103,8840
구의동,1105061,11215103,15112
구의동,1105062,11215103,15791
광장동,1105063,11215104,10983
자양동,1105064,11215105,7481
자양동,1105065,11215105,24512
자양동,1105066,11215105,8989
자양동,1105067,11215105,26660
회기동,1106071,11230108,9277
휘경동,1106072,11230109,13305
휘경동,1106073,11230109,15737
청량리동,1106080,11230107,11253
신설동,1106081,11230101,5741
용두동,1106081,11230102,5741
제기동,1106082,11230103,20217
전농동,1106083,11230104,7825
전농동,1106084,11230104,9061
답십리동,1106085,11230105,9061
답십리동,1106086,11230105,7187
장안동,1106087,11230106,15808
장안동,1106088,11230106,9838
이문동,1106089,11230110,7876
이문동,1106090,11230110,10747
면목동,1107052,11260101,14998
면목동,1107054,11260101,15534
면목동,1107055,11260101,21387
면목동,1107057,11260101,8490
상봉동,1107059,11260102,4170
상봉동,1107060,11260102,9343
중화동,1107061,11260103,9841
중화동,1107062,11260103,17908
묵동,1107064,11260104,13296
묵동,1107065,11260104,10740
망우동,1107068,11260105,9884
신내동,1107069,11260106,12784
신내동,1107070,11260106,3676
면목동,1107071,11260101,8527
면목동,1107072,11260101,7198
망우동,1107073,11260105,5416
돈암동,1108058,11290103,7856
돈암동,1108059,11290103,2690
안암동1가,1108060,11290121,1166
안암동2가,1108060,11290122,1166
안암동3가,1108060,11290123,1166
안암동4가,1108060,11290124,1166
안암동5가,1108060,11290125,1166
보문동4가,1108061,11290126,909
보문동5가,1108061,11290127,909
보문동6가,1108061,11290128,909
보문동7가,1108061,11290129,909
보문동1가,1108061,11290130,909
보문동2가,1108061,11290131,909
보문동3가,1108061,11290132,909
정릉동,1108062,11290133,6455
돈암동,1108063,11290103,14267
정릉동,1108063,11290133,14267
정릉동,1108064,11290133,15976
정릉동,1108065,11290133,7162
길음동,1108066,11290134,3454
길음동,1108068,11290134,9611
하월곡동,1108068,11290136,9611
하월곡동,1108071,11290136,11695
하월곡동,1108072,11290136,7180
상월곡동,1108072,11290137,7180
장위동,1108076,11290138,6540
장위동,1108077,11290138,18947
장위동,1108078,11290138,12174
성북동,1108081,11290101,1174
성북동1가,1108081,11290102,1174
동소문동1가,1108081,11290104,1174
동소문동4가,1108081,11290107,1174
돈암동,1108082,11290103,551
동소문동2가,1108082,11290105,551
동소문동3가,1108082,11290106,551
동소문동5가,1108082,11290108,551
삼선동1가,1108082,11290111,551
삼선동2가,1108082,11290112,551
삼선동3가,1108082,11290113,551
삼선동4가,1108082,11290114,551
삼선동5가,1108082,11290115,551
돈암동,1108083,11290103,1021
동소문동6가,1108083,11290109,1021
동소문동7가,1108083,11290110,1021
동선동1가,1108083,11290116,1021
동선동2가,1108083,11290117,1021
동선동3가,1108083,11290118,1021
동선동4가,1108083,11290119,1021
동선동5가,1108083,11290120,1021
종암동,1108084,11290135,11560
석관동,1108085,11290139,13812
번동,1109060,11305102,14450
번동,1109061,11305102,6236
번동,1109062,11305102,10217
수유동,1109063,11305103,9016
수유동,1109064,11305103,8886
수유동,1109065,11305103,11149
미아동,1109069,11305101,10728
미아동,1109070,11305101,8581
미아동,1109071,11305101,11730
미아동,1109072,11305101,7348
미아동,1109073,11305101,5612
수유동,1109074,11305103,3028
우이동,1109074,11305104,3028
수유동,1109075,11305103,8198
쌍문동,1110051,11320105,6307
쌍문동,1110052,11320105,9651
쌍문동,1110053,11320105,8571
쌍문동,1110054,11320105,5909
방학동,1110055,11320106,8396
방학동,1110056,11320106,6643
방학동,1110057,11320106,6136
창동,1110059,11320107,9364
창동,1110060,11320107,9140
창동,1110061,11320107,8154
창동,1110062,11320107,8809
창동,1110063,11320107,9525
도봉동,1110064,11320108,10179
도봉동,1110065,11320108,6320
월계동,1111051,11350102,4233
월계동,1111052,11350102,6093
월계동,1111053,11350102,19317
공릉동,1111056,11350103,11682
하계동,1111058,11350104,7554
하계동,1111059,11350104,17503
중계동,1111060,11350106,5235
중계동,1111061,11350106,4738
상계동,1111064,11350105,2640
중계동,1111064,11350106,2640
상계동,1111065,11350105,21148
상계동,1111066,11350105,8482
상계동,1111069,11350105,5198
상계동,1111072,11350105,16028
상계동,1111073,11350105,8352
상계동,1111074,11350105,15856
공릉동,1111075,11350103,15856
상계동,1111076,11350105,10347
상계동,1111077,11350105,14590
중계동,1111078,11350106,8032
녹번동,1112051,11380102,8577
불광동,1112052,11380103,9895
불광동,1112072,11380103,7626
갈현동,1112055,11380104,7852
갈현동,1112056,11380104,8129
갈현동,1112057,11380104,2210
구산동,1112057,11380105,2210
대조동,1112058,11380106,9183
응암동,1112059,11380107,9185
응암동,1112060,11380107,4503
응암동,1112073,11380107,5487
역촌동,1112074,11380108,8336
신사동,1112065,11380109,6344
신사동,1112066,11380109,6101
증산동,1112067,11380110,12925
수색동,1112068,11380101,12791
진관동,1112071,11380114,6069
냉천동,1113052,11410105,1558
천연동,1113052,11410106,1558
옥천동,1113052,11410107,1558
영천동,1113052,11410108,1558
현저동,1113052,11410109,1558
홍제동,1113062,11410111,8767
홍제동,1113064,11410111,18449
홍제동,1113065,11410111,13672
홍은동,1113066,11410118,7382
홍은동,1113068,11410118,18539
남가좌동,1113069,11410120,9332
남가좌동,1113070,11410120,5769
북가좌동,1113071,11410119,8711
북가좌동,1113072,11410119,6306
충정로2가,1113073,11410101,1716
충정로3가,1113073,11410102,1716
합동,1113073,11410103,1716
미근동,1113073,11410104,1716
북아현동,1113073,11410110,1716
북아현동,1113074,11410110,7175
대현동,1113075,11410112,3111
대신동,1113075,11410113,3111
신촌동,1113075,11410114,3111
봉원동,1113075,11410115,3111
창천동,1113075,11410116,3111
연희동,1113076,11410117,18280
도화동,1114059,11440104,2616
용강동,1114059,11440105,2616
토정동,1114059,11440106,2616
마포동,1114059,11440107,2616
대흥동,1114059,11440108,2616
염리동,1114059,11440109,2616
대흥동,1114060,11440108,3472
노고산동,1114060,11440110,3472
신수동,1114060,11440111,3472
염리동,1114061,11440109,7954
대흥동,1114063,11440108,2909
신수동,1114063,11440111,2909
현석동,1114063,11440112,2909
구수동,1114063,11440113,2909
신정동,1114063,11440117,2909
노고산동,1114066,11440110,3516
서교동,1114066,11440120,3516
동교동,1114066,11440121,3516
합정동,1114068,11440122,24065
망원동,1114069,11440123,27196
망원동,1114070,11440123,20943
연남동,1114071,11440124,6902
성산동,1114072,11440125,25033
성산동,1114073,11440125,8727
중동,1114073,11440126,8727
상암동,1114074,11440127,16553
도화동,1114075,11440104,3989
마포동,1114075,11440107,3989
창전동,1114076,11440114,4231
상수동,1114076,11440115,4231
하중동,1114076,11440116,4231
신정동,1114076,11440117,4231
당인동,1114076,11440118,4231
아현동,1114077,11440101,2079
공덕동,1114077,11440102,2079
신공덕동,1114077,11440103,2079
도화동,1114077,11440104,2079
아현동,1114078,11440101,2661
공덕동,1114078,11440102,2661
염리동,1114078,11440109,2661
목동,1115051,11470102,20765
목동,1115052,11470102,11546
목동,1115053,11470102,12110
목동,1115054,11470102,10877
목동,1115071,11470102,18225
신월동,1115057,11470103,10341
신월동,1115058,11470103,13704
신월동,1115059,11470103,25515
신월동,1115060,11470103,23696
신월동,1115061,11470103,7582
신월동,1115062,11470103,12848
신월동,1115063,11470103,14410
신정동,1115064,11470101,4509
신정동,1115065,11470101,11611
신정동,1115066,11470101,9836
신정동,1115072,11470101,17321
신정동,1115069,11470101,11413
신정동,1115070,11470101,9360
염창동,1116051,11500101,19041
등촌동,1116052,11500102,14484
등촌동,1116053,11500102,8073
등촌동,1116054,11500102,6839
화곡동,1116055,11500103,11908
화곡동,1116057,11500103,22086
화곡동,1116058,11500103,8647
화곡동,1116059,11500103,21089
화곡동,1116061,11500103,8516
화곡동,1116063,11500103,14196
가양동,1116064,11500104,5313
마곡동,1116064,11500105,5313
가양동,1116065,11500104,25073
염창동,1116066,11500101,3506
가양동,1116066,11500104,3506
내발산동,1116067,11500106,4816
외발산동,1116067,11500107,4816
공항동,1116069,11500108,2501
과해동,1116069,11500111,2501
오곡동,1116069,11500112,2501
오쇠동,1116069,11500113,2501
방화동,1116070,11500109,5524
방화동,1116071,11500109,9084
개화동,1116071,11500110,9084
방화동,1116072,11500109,9252
화곡동,1116073,11500103,11201
화곡동,1116074,11500103,3270
내발산동,1116074,11500106,3270
신도림동,1117051,11530101,11048
구로동,1117052,11530102,14749
구로동,1117054,11530102,8685
구로동,1117055,11530102,8659
