자치구명,법정동명,등록수
강남구,개포동,3189
강남구,논현동,3890
강남구,대치동,4209
강남구,도곡동,2877
강남구,삼성동,2902
강남구,세곡동,641
강남구,수서동,992
강남구,신사동,874
강남구,역삼동,5096
강남구,율현동,159
강남구,일원동,1755
강남구,자곡동,898
강남구,청담동,2005
강남구,압구정동,1884
강동구,길동,2019
강동구,강일동,814
강동구,고덕동,1299
강동구,둔촌동,1524
강동구,명일동,1534
강동구,상일동,936
강동구,성내동,2971
강동구,암사동,3083
강동구,천호동,4101
강북구,번동,2707
강북구,미아동,6851
강북구,수유동,5931
강북구,우이동,690
강서구,가양동,2174
강서구,개화동,159
강서구,공항동,1056
강서구,등촌동,3363
강서구,마곡동,1397
강서구,방화동,3549
강서구,염창동,1760
강서구,오쇠동,3
강서구,화곡동,12567
강서구,내발산동,1973
강서구,외발산동,54
관악구,남현동,871
관악구,봉천동,9601
관악구,신림동,14555
광진구,능동,79
광진구,광장동,260
광진구,구의동,566
광진구,군자동,172
광진구,자양동,730
광진구,중곡동,633
광진구,화양동,235
구로구,궁동,337
구로구,항동,289
구로구,개봉동,2001
구로구,고척동,1145
구로구,구로동,2566
구로구,오류동,1091
구로구,온수동,182
구로구,천왕동,319
구로구,가리봉동,287
구로구,신도림동,703
금천구,가산동,986
금천구,독산동,5557
금천구,시흥동,6107
노원구,월계동,4209
노원구,공릉동,4289
노원구,하계동,2654
노원구,중계동,5663
노원구,상계동,10955
도봉구,쌍문동,3717
도봉구,방학동,3481
도봉구,도봉동,2081
도봉구,창  동,5397
동대문구,신설동,254
동대문구,용두동,1692
동대문구,이문동,2671
동대문구,장안동,4562
동대문구,전농동,2413
동대문구,제기동,1471
동대문구,회기동,500
동대문구,휘경동,1835
동대문구,답십리동,3129
동대문구,청량리동,1038
동작구,본동,488
동작구,대방동,1729
동작구,동작동,290
동작구,사당동,4424
동작구,상도동,5090
동작구,흑석동,1423
동작구,상도1동,435
동작구,노량진동,1266
동작구,신대방동,1996
마포구,중동,510
마포구,공덕동,1201
마포구,구수동,52
마포구,당인동,73
마포구,대흥동,569
마포구,도화동,1030
마포구,동교동,271
마포구,마포동,130
마포구,망원동,2499
마포구,상수동,383
마포구,상암동,1366
마포구,서교동,2146
마포구,성산동,2687
마포구,신수동,594
마포구,신정동,52
마포구,아현동,1031
마포구,연남동,1021
마포구,염리동,637
마포구,용강동,290
마포구,창전동,598
마포구,토정동,62
마포구,하중동,80
마포구,합정동,1189
마포구,현석동,175
마포구,노고산동,302
마포구,신공덕동,526
서대문구,천연동,940
서대문구,북아현동,874
서대문구,충현동,1119
서대문구,신촌동,1126
서대문구,연희동,1929
서대문구,홍제동,3030
서대문구,홍은동,2713
서대문구,남가좌동,2494
서대문구,북가좌동,2719
서초구,내곡동,271
서초구,반포동,4175
서초구,방배동,5359
서초구,서초동,4641
서초구,신원동,216
서초구,양재동,1743
서초구,염곡동,68
서초구,우면동,1085
서초구,원지동,10
서초구,잠원동,2496
성동구,도선동,249
성동구,마장동,967
성동구,사근동,264
성동구,송정동,619
성동구,옥수동,1476
성동구,용답동,685
성동구,응봉동,830
성동구,행당동,1838
성동구,홍익동,176
성동구,금호동1가,927
성동구,금호동2가,704
성동구,금호동3가,724
성동구,금호동4가,750
성동구,성수동1가,1937
성동구,성수동2가,1532
성동구,상왕십리동,206
성동구,하왕십리동,1480
성북구,길음동,2005
성북구,돈암동,1978
성북구,석관동,1573
성북구,성북동,1062
성북구,장위동,3106
성북구,정릉동,3970
성북구,종암동,1748
성북구,상월곡동,507
성북구,하월곡동,2005
성북구,동선동1가,57
성북구,동선동2가,107
성북구,동선동3가,136
성북구,동선동4가,145
성북구,동선동5가,91
성북구,보문동1가,88
성북구,보문동2가,127
성북구,보문동3가,149
성북구,보문동4가,47
성북구,보문동5가,100
성북구,보문동6가,301
성북구,보문동7가,34
성북구,삼선동1가,296
성북구,삼선동2가,330
성북구,삼선동3가,240
성북구,삼선동4가,114
성북구,삼선동5가,205
성북구,성북동1가,136
성북구,안암동1가,162
성북구,안암동2가,126
성북구,안암동3가,253
성북구,안암동4가,51
성북구,안암동5가,118
성북구,동소문동1가,69
성북구,동소문동2가,74
성북구,동소문동3가,7
성북구,동소문동4가,112
성북구,동소문동5가,44
성북구,동소문동6가,84
성북구,동소문동7가,120
송파구,가락동,3195
송파구,거여동,1531
송파구,마천동,1728
송파구,문정동,3233
송파구,방이동,3056
송파구,삼전동,1887
송파구,석촌동,1862
송파구,송파동,2152
송파구,신천동,1680
송파구,오금동,1657
송파구,잠실동,5255
송파구,장지동,1551
송파구,풍납동,1701
양천구,목동,6451
양천구,신월동,5800
양천구,신정동,7354
영등포구,당산동,282
영등포구,대림동,2569
영등포구,도림동,981
영등포구,신길동,5042
영등포구,여의도동,1959
영등포구,영등포동,689
영등포구,당산동1가,367
영등포구,당산동2가,274
영등포구,당산동3가,493
영등포구,당산동4가,564
영등포구,당산동5가,616
영등포구,당산동6가,196
영등포구,문래동1가,10
영등포구,문래동2가,53
영등포구,문래동3가,636
영등포구,문래동4가,95
영등포구,문래동5가,225
영등포구,문래동6가,446
영등포구,양평동1가,247
영등포구,양평동2가,339
영등포구,양평동3가,526
영등포구,양평동4가,324
