gid,sgg_nm_k,sido_nm_k,격자 내 토지이용(건물)의 밀도
다사53b51a,중구,서울특별시,577.130622
다사52a41a,관악구,서울특별시,557.173908
다사64b46a,송파구,서울특별시,515.679588
다사66b42a,송파구,서울특별시,512.7611416
다사54a52b,종로구,서울특별시,509.7463716
다사60b45a,강남구,서울특별시,509.091928
다사49a47a,영등포구,서울특별시,507.76291
다사42a52a,강서구,서울특별시,483.1587944
다사49b47a,영등포구,서울특별시,478.8383328
다사49a43b,관악구,서울특별시,478.3479784
다사61a45b,강남구,서울특별시,472.260468
다사62a48b,광진구,서울특별시,467.9814192
다사54a51b,중구,서울특별시,437.0100336
다사60a43a,강남구,서울특별시,431.0824432
다사54b52a,종로구,서울특별시,430.157884
다사54a51a,중구,서울특별시,424.87768
다사45b42a,금천구,서울특별시,418.7139921
다사45a42a,금천구,서울특별시,418.134716
다사57a44a,서초구,서울특별시,417.4732676
다사64b45b,송파구,서울특별시,410.015792
다사59a44b,강남구,서울특별시,409.638324
다사54a52a,중구,서울특별시,404.350704
다사60a45a,강남구,서울특별시,404.0105652
다사51a49a,마포구,서울특별시,396.2218548
다사54b51b,중구,서울특별시,388.33444
다사60b43b,강남구,서울특별시,374.9744647
다사59b44b,강남구,서울특별시,374.7902025
다사41a51a,강서구,서울특별시,373.2189
다사58a43b,서초구,서울특별시,370.9987072
다사58b44b,강남구,서울특별시,370.6373636
다사67b48b,강동구,서울특별시,369.2486708
다사58b43b,강남구,서울특별시,367.8626016
다사46b42b,구로구,서울특별시,361.3377842
다사48b47b,영등포구,서울특별시,355.640224
다사56b52a,중구,서울특별시,353.688048
다사46a43a,구로구,서울특별시,353.435388
다사56b54b,성북구,서울특별시,352.6114488
다사68b50b,강동구,서울특별시,352.27268
다사50b51a,서대문구,서울특별시,349.8966488
다사53b52a,중구,서울특별시,346.897536
다사66a43a,송파구,서울특별시,345.8451772
다사46a53a,마포구,서울특별시,344.802952
다사52b47b,용산구,서울특별시,343.5348412
다사57b52a,중구,서울특별시,342.050888
다사62b46a,송파구,서울특별시,336.734496
다사53b50b,중구,서울특별시,335.402076
다사53a51a,중구,서울특별시,334.3983432
다사65a46b,송파구,서울특별시,333.921586
다사49a46b,영등포구,서울특별시,333.560904
다사51b50a,마포구,서울특별시,329.2726907
다사50b51b,서대문구,서울특별시,328.686356
다사60a44a,강남구,서울특별시,323.7322147
다사46b43a,구로구,서울특별시,323.2676828
다사48a50a,마포구,서울특별시,321.799606
다사53b52b,종로구,서울특별시,320.6588637
다사56b57b,강북구,서울특별시,318.7034592
다사53a52b,종로구,서울특별시,318.09124
다사45b45b,구로구,서울특별시,318.0101484
다사45a42b,금천구,서울특별시,315.1098864
다사58b54a,성북구,서울특별시,314.851844
다사70b50b,강동구,서울특별시,313.6216448
다사67a48b,강동구,서울특별시,307.2136349
다사57a42b,서초구,서울특별시,306.2098492
다사55a51b,중구,서울특별시,303.111918
다사57b44b,서초구,서울특별시,302.7371668
다사45b41a,금천구,서울특별시,302.055008
다사53b51b,중구,서울특별시,301.3118824
다사41a51b,강서구,서울특별시,300.41702
다사60b43a,강남구,서울특별시,300.3681112
다사58b44a,강남구,서울특별시,298.4612116
다사44a47a,양천구,서울특별시,297.3481404
다사56b45b,서초구,서울특별시,296.7650872
다사66b42b,송파구,서울특별시,295.1200437
다사58a44a,서초구,서울특별시,294.561195
다사56b43b,서초구,서울특별시,293.2093064
다사63a45b,송파구,서울특별시,292.707346
다사41a49b,강서구,서울특별시,291.6117808
다사60b45b,강남구,서울특별시,291.2269744
다사47a48a,영등포구,서울특별시,290.5750632
다사44b47b,양천구,서울특별시,287.5547
다사46a42b,구로구,서울특별시,286.9311968
다사40b51a,강서구,서울특별시,283.606654
다사45b46b,영등포구,서울특별시,282.923352
다사56b43a,서초구,서울특별시,281.9714179
다사49a50b,마포구,서울특별시,281.0595056
다사44a47b,양천구,서울특별시,280.6473612
다사52a45a,동작구,서울특별시,280.6110467
다사61a45a,강남구,서울특별시,279.434276
다사47a46b,영등포구,서울특별시,278.0424936
다사58a44b,강남구,서울특별시,277.8594236
다사60b49b,성동구,서울특별시,277.3224712
다사51b49a,마포구,서울특별시,274.8703124
다사53a47a,용산구,서울특별시,273.3742924
다사59b45a,강남구,서울특별시,271.7298427
다사53a52a,중구,서울특별시,271.000588
다사46a45a,구로구,서울특별시,270.941348
다사49b46b,영등포구,서울특별시,270.512832
다사43a51a,강서구,서울특별시,270.1774308
다사51b49b,마포구,서울특별시,268.8613556
다사58a52a,성동구,서울특별시,268.61492
다사62a52b,동대문구,서울특별시,266.7138994
다사48b52b,서대문구,서울특별시,265.565784
다사45b41b,금천구,서울특별시,265.476266
다사55b52b,종로구,서울특별시,263.911299
다사53a48b,용산구,서울특별시,263.5408608
다사47a47b,영등포구,서울특별시,262.9733029
다사58a50b,성동구,서울특별시,262.958044
다사52b51a,중구,서울특별시,261.9326357
다사46a53b,마포구,서울특별시,260.964168
다사46b46b,영등포구,서울특별시,259.249472
다사57a52a,중구,서울특별시,258.9901704
다사59b46a,강남구,서울특별시,258.7845242
다사57b56a,성북구,서울특별시,255.307192
다사68a41b,송파구,서울특별시,254.6196194
다사46b40a,금천구,서울특별시,254.0449372
다사61b49b,광진구,서울특별시,253.3269116
다사68a42a,송파구,서울특별시,252.1629319
다사52a43a,관악구,서울특별시,251.4782716
다사57a57b,강북구,서울특별시,250.1084532
다사58a47a,강남구,서울특별시,249.7324932
다사59a45b,강남구,서울특별시,248.9979947
다사53a51b,중구,서울특별시,247.9136017
다사57a56b,성북구,서울특별시,247.7134843
다사60a52b,동대문구,서울특별시,247.4437632
다사63b45a,송파구,서울특별시,247.1389103
다사45b53b,마포구,서울특별시,247.065996
다사60b49a,성동구,서울특별시,246.7794776
다사62b61a,노원구,서울특별시,246.544952
다사66b49a,강동구,서울특별시,246.5446828
다사68a50b,강동구,서울특별시,246.1605008
다사58a45a,강남구,서울특별시,246.132209
다사59b44a,강남구,서울특별시,246.0015937
다사57a43a,서초구,서울특별시,245.1371072
다사60a46a,강남구,서울특별시,243.997532
다사60a44b,강남구,서울특별시,243.6709574
다사41a50a,강서구,서울특별시,242.7096066
다사55b51b,중구,서울특별시,242.5875584
다사59b47a,강남구,서울특별시,241.6098736
다사60b47a,강남구,서울특별시,240.8487814
다사57b56b,성북구,서울특별시,240.5567012
다사42b51b,강서구,서울특별시,239.8698916
다사46b41a,금천구,서울특별시,239.841242
다사59a56b,성북구,서울특별시,239.7407776
다사41b51a,강서구,서울특별시,239.6394396
다사62a52a,동대문구,서울특별시,238.4960416
다사44b50a,강서구,서울특별시,238.3914012
다사65a46a,송파구,서울특별시,237.8249049
다사60b44a,강남구,서울특별시,237.6727877
다사68b42a,송파구,서울특별시,237.5917094
다사45a48b,양천구,서울특별시,235.704372
다사59b40b,서초구,서울특별시,234.952324
다사47b52b,서대문구,서울특별시,234.9151062
다사48b55b,은평구,서울특별시,234.3992159
다사43b51a,강서구,서울특별시,232.3256081
다사46a41b,금천구,서울특별시,231.84033
다사64a45a,송파구,서울특별시,231.6258084
다사50a50b,마포구,서울특별시,231.3353484
다사65b46a,송파구,서울특별시,230.2603026
다사56b44b,서초구,서울특별시,229.5024748
다사58a51a,성동구,서울특별시,228.6272772
다사60a49b,성동구,서울특별시,227.5546018
다사63b45b,송파구,서울특별시,227.308848
다사43b50b,강서구,서울특별시,226.7446982
다사43b44a,구로구,서울특별시,226.4161364
