GID,시군구명,등록수,공시지가,관련시설,교통량
11410,서대문구,16944,-2726405.03,42,-154307
11380,은평구,28578,-1694321.33,70,-127423
11350,노원구,27770,-1406054.97,71,-203769
11320,도봉구,14676,-1283371.75,40,-113104
11305,강북구,16179,-1201495.24,43,-118207
11290,성북구,21877,-2217741.92,58,-210455
11260,중랑구,19622,-1902638.46,64,-173192
11230,동대문구,19565,-3284348.14,57,-159842
11215,광진구,2675,-3040324.75,57,-235809
11200,성동구,15364,-3413752.74,61,-248989
11170,용산구,17717,-4860651.19,60,-256345
11140,중구,7922,-10063323.1,27,-181530
11110,종로구,9753,-3446612.38,21,-176658
11740,강동구,18281,-3268657.86,78,-226910
11710,송파구,30488,-5664434.35,139,-351094
11680,강남구,31371,-8841606.91,176,-347166
11650,서초구,20064,-4578844.96,97,-350938
11620,관악구,25027,-1808566.97,60,-248055
11590,동작구,17141,-3445859.03,39,-195015
11560,영등포구,18825,-3852152.55,53,-237111
11545,금천구,12650,-2252954.65,35,-124726
11530,구로구,8920,-2434716.58,43,-162947
11500,강서구,28055,-1731614.89,105,-247906
11470,양천구,19605,-3437975.88,88,-245669
11440,마포구,19474,-3917243.72,71,-242735
