gid,자치구명,법정동명,등록동물수,교통량,공시지가음수,반려동물_관련시설
11170101,용산구,후암동,1223,-9225,-3663212,3
11170102,용산구,용산동2가,1021,-8941,-3129218,3
11170103,용산구,용산동4가,2,-8941,-3207603,4
11170104,용산구,갈월동,187,-3741,-8978836,0
11170105,용산구,남영동,35,-3741,-11143536,0
11170106,용산구,용산동1가,0,-3741,-3189743,0
11170107,용산구,동자동,218,-3741,-10630801,0
11170108,용산구,서계동,315,-2131,-5894700,2
11170109,용산구,청파동1가,428,-2131,-4640010,0
11170110,용산구,청파동2가,132,-2131,-4772994,0
11170111,용산구,청파동3가,164,-2131,-5715247,2
11170112,용산구,원효로1가,389,-2411,-7213442,0
11170113,용산구,원효로2가,126,-2411,-6563019,1
11170114,용산구,신창동,133,-3216,-4565095,0
11170115,용산구,산천동,488,-3216,-6471576,1
11170116,용산구,청암동,131,-3216,-4035597,1
11170117,용산구,원효로3가,139,-3216,-6901137,1
11170118,용산구,원효로4가,222,-3216,-4134036,3
11170119,용산구,효창동,590,-7780,-4431300,0
11170120,용산구,도원동,324,-2340,-7661842,0
11170121,용산구,용문동,315,-2340,-5763964,2
11170122,용산구,문배동,353,-2411,-8637261,1
11170123,용산구,신계동,160,-2411,-6434962,3
11170124,용산구,한강로1가,239,-2323,-8116334,0
11170125,용산구,한강로2가,506,-2323,-13176619,0
11170126,용산구,용산동3가,11,-2323,-3438514,0
11170127,용산구,용산동5가,191,-2323,-4235716,0
11170128,용산구,한강로3가,562,-2323,-11277002,3
11170129,용산구,이촌동,2289,-43841,-2703655,10
11170130,용산구,이태원동,2262,-12280,-7074899,6
11170131,용산구,한남동,2292,-27782,-5393465,8
11170132,용산구,동빙고동,450,-5967,-6577584,1
11170133,용산구,서빙고동,387,-5967,-3267059,0
11170134,용산구,주성동,75,-5967,-1987004,0
11170135,용산구,용산동6가,0,-5967,-2099902,0
11170136,용산구,보광동,1358,-18945,-5509550,5
11200101,성동구,상왕십리동,206,-1822,-5656328,3
11200102,성동구,하왕십리동,1480,-1822,-4873840,5
11200103,성동구,홍익동,176,-1822,-4307257,0
11200104,성동구,도선동,249,-1822,-5780025,0
11200105,성동구,마장동,967,-17036,-3449446,4
11200106,성동구,사근동,264,-6046,-2398916,1
11200107,성동구,행당동,1838,-2940,-4472657,10
11200108,성동구,응봉동,830,-8808,-2761366,3
11200109,성동구,금호동1가,927,-6269,-3596646,3
11200110,성동구,금호동2가,704,-4478,-3546961,0
11200111,성동구,금호동3가,724,-4478,-3666762,4
11200112,성동구,금호동4가,750,-27039,-2668441,4
11200113,성동구,옥수동,1476,-18202,-2259577,7
11200114,성동구,성수동1가,1937,-24466,-3850439,8
11200115,성동구,성수동2가,1532,-5484,-5113027,7
11200118,성동구,송정동,619,-9350,-1436064,0
11200122,성동구,용답동,685,-9350,-2287389,2
11260101,중랑구,면목동,7623,-7198,-1841362,28
11260102,중랑구,상봉동,2219,-9343,-3220850,9
11260103,중랑구,중화동,2423,-17908,-2310698,4
11260104,중랑구,묵동,2441,-10740,-2403172,10
11260105,중랑구,망우동,2340,-5416,-1339109,5
11260106,중랑구,신내동,2576,-3676,-1483459,8
11290101,성북구,성북동,1062,-1174,-1873905,0
11290102,성북구,성북동1가,136,-1174,-3793228,0
11290103,성북구,돈암동,1978,-1021,-3152234,5
11290104,성북구,동소문동1가,69,-1174,-3905690,0
11290105,성북구,동소문동2가,74,-551,-4606377,0
11290106,성북구,동소문동3가,7,-551,-5042663,0
11290107,성북구,동소문동4가,112,-1174,-4353083,0
11290108,성북구,동소문동5가,44,-551,-5502690,1
11290109,성북구,동소문동6가,84,-1021,-4407564,3
11290110,성북구,동소문동7가,120,-1021,-3715283,0
